,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,diseaseLimiar,Wolves,Sheep
0,0,0,0,20,20,0.04,0.05,20,True,30,4,50,50,0.25,50,50
1,0,0,10,20,20,0.04,0.05,20,True,30,4,50,50,0.25,53,32
2,1,0,0,20,20,0.04,0.05,20,True,30,4,50,50,0.75,50,50
3,1,0,10,20,20,0.04,0.05,20,True,30,4,50,50,0.75,70,18
4,2,0,0,20,20,0.04,0.05,20,True,30,4,50,50,0.0,50,50
5,2,0,10,20,20,0.04,0.05,20,True,30,4,50,50,0.0,44,51
6,3,0,0,20,20,0.04,0.05,20,True,30,4,50,50,0.5,50,50
7,3,0,10,20,20,0.04,0.05,20,True,30,4,50,50,0.5,45,40
8,4,0,0,20,20,0.04,0.05,20,True,30,4,50,100,0.25,100,50
9,4,0,10,20,20,0.04,0.05,20,True,30,4,50,100,0.25,122,28
10,5,0,0,20,20,0.04,0.05,20,True,30,4,50,100,0.5,100,50
11,5,0,10,20,20,0.04,0.05,20,True,30,4,50,100,0.5,127,23
12,6,0,0,20,20,0.04,0.05,20,True,30,4,50,150,0.25,150,50
13,6,0,10,20,20,0.04,0.05,20,True,30,4,50,150,0.25,150,30
14,7,0,0,20,20,0.04,0.05,20,True,30,4,50,100,0.0,100,50
15,7,0,10,20,20,0.04,0.05,20,True,30,4,50,100,0.0,108,41
16,8,0,0,20,20,0.04,0.05,20,True,30,4,50,150,0.0,150,50
17,8,0,10,20,20,0.04,0.05,20,True,30,4,50,150,0.0,137,37
18,9,0,0,20,20,0.04,0.05,20,True,30,4,50,150,0.5,150,50
19,9,0,10,20,20,0.04,0.05,20,True,30,4,50,150,0.5,167,25
20,10,0,0,20,20,0.04,0.05,20,True,30,4,50,150,0.75,150,50
21,10,0,10,20,20,0.04,0.05,20,True,30,4,50,150,0.75,168,10
22,11,0,0,20,20,0.04,0.05,20,True,30,4,100,50,0.0,50,100
23,11,0,10,20,20,0.04,0.05,20,True,30,4,100,50,0.0,48,63
24,12,0,0,20,20,0.04,0.05,20,True,30,4,100,50,0.25,50,100
25,12,0,10,20,20,0.04,0.05,20,True,30,4,100,50,0.25,53,55
26,13,0,0,20,20,0.04,0.05,20,True,30,4,100,50,0.5,50,100
27,13,0,10,20,20,0.04,0.05,20,True,30,4,100,50,0.5,56,45
28,14,0,0,20,20,0.04,0.05,20,True,30,4,50,100,0.75,100,50
29,14,0,10,20,20,0.04,0.05,20,True,30,4,50,100,0.75,96,19
30,15,0,0,20,20,0.04,0.05,20,True,30,4,100,100,0.0,100,100
31,15,0,10,20,20,0.04,0.05,20,True,30,4,100,100,0.0,117,80
32,16,0,0,20,20,0.04,0.05,20,True,30,4,100,100,0.25,100,100
33,16,0,10,20,20,0.04,0.05,20,True,30,4,100,100,0.25,97,51
34,17,0,0,20,20,0.04,0.05,20,True,30,4,100,50,0.75,50,100
35,17,0,10,20,20,0.04,0.05,20,True,30,4,100,50,0.75,59,37
36,18,0,0,20,20,0.04,0.05,20,True,30,4,100,100,0.5,100,100
37,18,0,10,20,20,0.04,0.05,20,True,30,4,100,100,0.5,109,43
38,19,0,0,20,20,0.04,0.05,20,True,30,4,100,100,0.75,100,100
39,19,0,10,20,20,0.04,0.05,20,True,30,4,100,100,0.75,118,26
40,20,0,0,20,20,0.04,0.05,20,True,30,4,100,150,0.25,150,100
41,20,0,10,20,20,0.04,0.05,20,True,30,4,100,150,0.25,175,45
42,21,0,0,20,20,0.04,0.05,20,True,30,4,100,150,0.0,150,100
43,21,0,10,20,20,0.04,0.05,20,True,30,4,100,150,0.0,153,71
44,22,0,0,20,20,0.04,0.05,20,True,30,4,150,50,0.75,50,150
45,22,0,10,20,20,0.04,0.05,20,True,30,4,150,50,0.75,68,50
46,23,0,0,20,20,0.04,0.05,20,True,30,4,150,50,0.25,50,150
47,23,0,10,20,20,0.04,0.05,20,True,30,4,150,50,0.25,64,62
48,24,0,0,20,20,0.04,0.05,20,True,30,4,150,100,0.0,100,150
49,24,0,10,20,20,0.04,0.05,20,True,30,4,150,100,0.0,93,63
50,25,0,0,20,20,0.04,0.05,20,True,30,4,100,150,0.75,150,100
51,25,0,10,20,20,0.04,0.05,20,True,30,4,100,150,0.75,176,24
52,26,0,0,20,20,0.04,0.05,20,True,30,4,150,50,0.5,50,150
53,26,0,10,20,20,0.04,0.05,20,True,30,4,150,50,0.5,55,46
54,27,0,0,20,20,0.04,0.05,20,True,30,4,150,50,0.0,50,150
55,27,0,10,20,20,0.04,0.05,20,True,30,4,150,50,0.0,57,72
56,28,0,0,20,20,0.04,0.05,20,True,30,4,100,150,0.5,150,100
57,28,0,10,20,20,0.04,0.05,20,True,30,4,100,150,0.5,187,35
58,29,0,0,20,20,0.04,0.05,20,True,30,4,150,100,0.25,100,150
59,29,0,10,20,20,0.04,0.05,20,True,30,4,150,100,0.25,109,60
60,30,1,0,20,20,0.04,0.05,20,True,30,4,50,50,0.0,50,50
61,30,1,10,20,20,0.04,0.05,20,True,30,4,50,50,0.0,44,47
62,31,0,0,20,20,0.04,0.05,20,True,30,4,150,150,0.25,150,150
63,31,0,10,20,20,0.04,0.05,20,True,30,4,150,150,0.25,163,60
64,32,0,0,20,20,0.04,0.05,20,True,30,4,150,100,0.5,100,150
65,32,0,10,20,20,0.04,0.05,20,True,30,4,150,100,0.5,135,53
66,33,0,0,20,20,0.04,0.05,20,True,30,4,150,150,0.0,150,150
67,33,0,10,20,20,0.04,0.05,20,True,30,4,150,150,0.0,175,79
68,34,0,0,20,20,0.04,0.05,20,True,30,4,150,150,0.75,150,150
69,34,0,10,20,20,0.04,0.05,20,True,30,4,150,150,0.75,181,18
70,35,0,0,20,20,0.04,0.05,20,True,30,4,150,100,0.75,100,150
71,35,0,10,20,20,0.04,0.05,20,True,30,4,150,100,0.75,131,25
72,36,1,0,20,20,0.04,0.05,20,True,30,4,50,50,0.25,50,50
73,36,1,10,20,20,0.04,0.05,20,True,30,4,50,50,0.25,57,36
74,37,0,0,20,20,0.04,0.05,20,True,30,4,150,150,0.5,150,150
75,37,0,10,20,20,0.04,0.05,20,True,30,4,150,150,0.5,182,50
76,38,1,0,20,20,0.04,0.05,20,True,30,4,50,50,0.75,50,50
77,38,1,10,20,20,0.04,0.05,20,True,30,4,50,50,0.75,53,29
78,39,1,0,20,20,0.04,0.05,20,True,30,4,50,100,0.0,100,50
79,39,1,10,20,20,0.04,0.05,20,True,30,4,50,100,0.0,95,39
80,40,1,0,20,20,0.04,0.05,20,True,30,4,50,100,0.75,100,50
81,40,1,10,20,20,0.04,0.05,20,True,30,4,50,100,0.75,107,17
82,41,1,0,20,20,0.04,0.05,20,True,30,4,50,100,0.5,100,50
83,41,1,10,20,20,0.04,0.05,20,True,30,4,50,100,0.5,109,18
84,42,1,0,20,20,0.04,0.05,20,True,30,4,50,150,0.0,150,50
85,42,1,10,20,20,0.04,0.05,20,True,30,4,50,150,0.0,161,49
86,43,1,0,20,20,0.04,0.05,20,True,30,4,50,50,0.5,50,50
87,43,1,10,20,20,0.04,0.05,20,True,30,4,50,50,0.5,63,30
88,44,1,0,20,20,0.04,0.05,20,True,30,4,50,150,0.5,150,50
89,44,1,10,20,20,0.04,0.05,20,True,30,4,50,150,0.5,158,22
90,45,1,0,20,20,0.04,0.05,20,True,30,4,50,100,0.25,100,50
91,45,1,10,20,20,0.04,0.05,20,True,30,4,50,100,0.25,101,31
92,46,1,0,20,20,0.04,0.05,20,True,30,4,50,150,0.25,150,50
93,46,1,10,20,20,0.04,0.05,20,True,30,4,50,150,0.25,157,32
94,47,1,0,20,20,0.04,0.05,20,True,30,4,100,50,0.0,50,100
95,47,1,10,20,20,0.04,0.05,20,True,30,4,100,50,0.0,45,63
96,48,1,0,20,20,0.04,0.05,20,True,30,4,50,150,0.75,150,50
97,48,1,10,20,20,0.04,0.05,20,True,30,4,50,150,0.75,159,9
98,49,1,0,20,20,0.04,0.05,20,True,30,4,100,50,0.5,50,100
99,49,1,10,20,20,0.04,0.05,20,True,30,4,100,50,0.5,45,44
100,50,1,0,20,20,0.04,0.05,20,True,30,4,100,100,0.0,100,100
101,50,1,10,20,20,0.04,0.05,20,True,30,4,100,100,0.0,99,72
102,51,1,0,20,20,0.04,0.05,20,True,30,4,100,50,0.25,50,100
103,51,1,10,20,20,0.04,0.05,20,True,30,4,100,50,0.25,57,55
104,52,1,0,20,20,0.04,0.05,20,True,30,4,100,50,0.75,50,100
105,52,1,10,20,20,0.04,0.05,20,True,30,4,100,50,0.75,61,35
106,53,1,0,20,20,0.04,0.05,20,True,30,4,100,100,0.75,100,100
107,53,1,10,20,20,0.04,0.05,20,True,30,4,100,100,0.75,110,26
108,54,1,0,20,20,0.04,0.05,20,True,30,4,100,100,0.25,100,100
109,54,1,10,20,20,0.04,0.05,20,True,30,4,100,100,0.25,113,60
110,55,1,0,20,20,0.04,0.05,20,True,30,4,100,150,0.0,150,100
111,55,1,10,20,20,0.04,0.05,20,True,30,4,100,150,0.0,141,74
112,56,1,0,20,20,0.04,0.05,20,True,30,4,100,100,0.5,100,100
113,56,1,10,20,20,0.04,0.05,20,True,30,4,100,100,0.5,98,30
114,57,1,0,20,20,0.04,0.05,20,True,30,4,100,150,0.25,150,100
115,57,1,10,20,20,0.04,0.05,20,True,30,4,100,150,0.25,159,56
116,58,1,0,20,20,0.04,0.05,20,True,30,4,100,150,0.5,150,100
117,58,1,10,20,20,0.04,0.05,20,True,30,4,100,150,0.5,157,33
118,59,1,0,20,20,0.04,0.05,20,True,30,4,150,50,0.0,50,150
119,59,1,10,20,20,0.04,0.05,20,True,30,4,150,50,0.0,58,69
120,60,1,0,20,20,0.04,0.05,20,True,30,4,150,50,0.5,50,150
121,60,1,10,20,20,0.04,0.05,20,True,30,4,150,50,0.5,63,54
122,61,1,0,20,20,0.04,0.05,20,True,30,4,150,50,0.25,50,150
123,61,1,10,20,20,0.04,0.05,20,True,30,4,150,50,0.25,66,54
124,62,1,0,20,20,0.04,0.05,20,True,30,4,150,50,0.75,50,150
125,62,1,10,20,20,0.04,0.05,20,True,30,4,150,50,0.75,62,47
126,63,1,0,20,20,0.04,0.05,20,True,30,4,150,100,0.25,100,150
127,63,1,10,20,20,0.04,0.05,20,True,30,4,150,100,0.25,127,69
128,64,1,0,20,20,0.04,0.05,20,True,30,4,100,150,0.75,150,100
129,64,1,10,20,20,0.04,0.05,20,True,30,4,100,150,0.75,181,17
130,65,1,0,20,20,0.04,0.05,20,True,30,4,150,100,0.75,100,150
131,65,1,10,20,20,0.04,0.05,20,True,30,4,150,100,0.75,140,27
132,66,1,0,20,20,0.04,0.05,20,True,30,4,150,100,0.5,100,150
133,66,1,10,20,20,0.04,0.05,20,True,30,4,150,100,0.5,120,53
134,67,1,0,20,20,0.04,0.05,20,True,30,4,150,100,0.0,100,150
135,67,1,10,20,20,0.04,0.05,20,True,30,4,150,100,0.0,102,82
136,68,2,0,20,20,0.04,0.05,20,True,30,4,50,50,0.25,50,50
