,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,diseaseLimiar,Wolves,Sheep
0,0,0,0,20,20,0.04,0.05,20,True,30,4,100,50,0,50,100
1,0,0,10,20,20,0.04,0.05,20,True,30,4,100,50,0,56,68
2,0,0,20,20,20,0.04,0.05,20,True,30,4,100,50,0,16,28
3,0,0,30,20,20,0.04,0.05,20,True,30,4,100,50,0,7,20
4,0,0,40,20,20,0.04,0.05,20,True,30,4,100,50,0,0,18
5,0,0,50,20,20,0.04,0.05,20,True,30,4,100,50,0,0,16
6,0,0,60,20,20,0.04,0.05,20,True,30,4,100,50,0,0,23
7,0,0,70,20,20,0.04,0.05,20,True,30,4,100,50,0,0,23
8,0,0,80,20,20,0.04,0.05,20,True,30,4,100,50,0,0,22
9,0,0,90,20,20,0.04,0.05,20,True,30,4,100,50,0,0,23
10,0,0,100,20,20,0.04,0.05,20,True,30,4,100,50,0,0,32
11,1,0,0,20,20,0.04,0.05,20,True,30,4,100,150,0,150,100
12,1,0,10,20,20,0.04,0.05,20,True,30,4,100,150,0,148,74
13,1,0,20,20,20,0.04,0.05,20,True,30,4,100,150,0,73,29
14,1,0,30,20,20,0.04,0.05,20,True,30,4,100,150,0,10,9
15,1,0,40,20,20,0.04,0.05,20,True,30,4,100,150,0,0,6
16,1,0,50,20,20,0.04,0.05,20,True,30,4,100,150,0,0,5
17,1,0,60,20,20,0.04,0.05,20,True,30,4,100,150,0,0,6
18,1,0,70,20,20,0.04,0.05,20,True,30,4,100,150,0,0,5
19,1,0,80,20,20,0.04,0.05,20,True,30,4,100,150,0,0,5
20,1,0,90,20,20,0.04,0.05,20,True,30,4,100,150,0,0,6
21,1,0,100,20,20,0.04,0.05,20,True,30,4,100,150,0,0,9
22,2,0,0,20,20,0.04,0.05,20,True,30,4,150,100,0,100,150
23,2,0,10,20,20,0.04,0.05,20,True,30,4,150,100,0,96,65
24,2,0,20,20,20,0.04,0.05,20,True,30,4,150,100,0,51,9
25,2,0,30,20,20,0.04,0.05,20,True,30,4,150,100,0,14,6
26,2,0,40,20,20,0.04,0.05,20,True,30,4,150,100,0,0,6
27,2,0,50,20,20,0.04,0.05,20,True,30,4,150,100,0,0,9
28,2,0,60,20,20,0.04,0.05,20,True,30,4,150,100,0,0,10
29,2,0,70,20,20,0.04,0.05,20,True,30,4,150,100,0,0,12
30,2,0,80,20,20,0.04,0.05,20,True,30,4,150,100,0,0,15
31,2,0,90,20,20,0.04,0.05,20,True,30,4,150,100,0,0,14
32,2,0,100,20,20,0.04,0.05,20,True,30,4,150,100,0,0,17
33,3,0,0,20,20,0.04,0.05,20,True,30,4,50,50,0,50,50
34,3,0,10,20,20,0.04,0.05,20,True,30,4,50,50,0,41,46
35,3,0,20,20,20,0.04,0.05,20,True,30,4,50,50,0,17,22
36,3,0,30,20,20,0.04,0.05,20,True,30,4,50,50,0,8,25
37,3,0,40,20,20,0.04,0.05,20,True,30,4,50,50,0,0,18
38,3,0,50,20,20,0.04,0.05,20,True,30,4,50,50,0,0,22
39,3,0,60,20,20,0.04,0.05,20,True,30,4,50,50,0,0,27
40,3,0,70,20,20,0.04,0.05,20,True,30,4,50,50,0,0,25
41,3,0,80,20,20,0.04,0.05,20,True,30,4,50,50,0,0,29
42,3,0,90,20,20,0.04,0.05,20,True,30,4,50,50,0,0,34
43,3,0,100,20,20,0.04,0.05,20,True,30,4,50,50,0,0,33
44,4,0,0,20,20,0.04,0.05,20,True,30,4,50,100,0,100,50
45,4,0,10,20,20,0.04,0.05,20,True,30,4,50,100,0,104,51
46,4,0,20,20,20,0.04,0.05,20,True,30,4,50,100,0,40,36
47,4,0,30,20,20,0.04,0.05,20,True,30,4,50,100,0,11,24
48,4,0,40,20,20,0.04,0.05,20,True,30,4,50,100,0,0,31
49,4,0,50,20,20,0.04,0.05,20,True,30,4,50,100,0,0,33
50,4,0,60,20,20,0.04,0.05,20,True,30,4,50,100,0,0,35
51,4,0,70,20,20,0.04,0.05,20,True,30,4,50,100,0,0,33
52,4,0,80,20,20,0.04,0.05,20,True,30,4,50,100,0,0,34
53,4,0,90,20,20,0.04,0.05,20,True,30,4,50,100,0,0,33
54,4,0,100,20,20,0.04,0.05,20,True,30,4,50,100,0,0,28
55,5,0,0,20,20,0.04,0.05,20,True,30,4,150,50,0,50,150
56,5,0,10,20,20,0.04,0.05,20,True,30,4,150,50,0,51,74
57,5,0,20,20,20,0.04,0.05,20,True,30,4,150,50,0,21,15
58,5,0,30,20,20,0.04,0.05,20,True,30,4,150,50,0,4,11
59,5,0,40,20,20,0.04,0.05,20,True,30,4,150,50,0,0,13
60,5,0,50,20,20,0.04,0.05,20,True,30,4,150,50,0,0,22
61,5,0,60,20,20,0.04,0.05,20,True,30,4,150,50,0,0,29
62,5,0,70,20,20,0.04,0.05,20,True,30,4,150,50,0,0,31
63,5,0,80,20,20,0.04,0.05,20,True,30,4,150,50,0,0,31
64,5,0,90,20,20,0.04,0.05,20,True,30,4,150,50,0,0,25
65,5,0,100,20,20,0.04,0.05,20,True,30,4,150,50,0,0,25
66,6,0,0,20,20,0.04,0.05,20,True,30,4,50,150,0,150,50
67,6,0,10,20,20,0.04,0.05,20,True,30,4,50,150,0,153,41
68,6,0,20,20,20,0.04,0.05,20,True,30,4,50,150,0,55,36
69,6,0,30,20,20,0.04,0.05,20,True,30,4,50,150,0,13,23
70,6,0,40,20,20,0.04,0.05,20,True,30,4,50,150,0,0,23
71,6,0,50,20,20,0.04,0.05,20,True,30,4,50,150,0,0,27
72,6,0,60,20,20,0.04,0.05,20,True,30,4,50,150,0,0,25
