,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,diseaseLimiar,Wolves,Sheep,Ill sheep rate
0,0,0,600,20,20,0.04,0.05,20,True,30,4,50,100,0.0,0,0,0.0
1,1,0,600,20,20,0.04,0.05,20,True,30,4,50,50,0.0,0,35,1.2857142857142858
2,2,0,600,20,20,0.04,0.05,20,True,30,4,50,50,1.0,0,30,0.0
3,3,0,600,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,35,1.0
4,4,0,600,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,44,1.0
5,5,0,600,20,20,0.04,0.05,20,True,30,4,50,50,0.75,0,42,0.30952380952380953
6,6,0,600,20,20,0.04,0.05,20,True,30,4,50,50,0.5,0,37,0.7027027027027027
7,7,0,600,20,20,0.04,0.05,20,True,30,4,50,100,0.5,0,34,0.8235294117647058
8,8,0,600,20,20,0.04,0.05,20,True,30,4,50,150,0.0,0,0,0.0
9,9,0,600,20,20,0.04,0.05,20,True,30,4,50,100,0.75,0,34,0.5588235294117647
10,10,0,600,20,20,0.04,0.05,20,True,30,4,50,100,1.0,0,46,0.0
11,11,0,600,20,20,0.04,0.05,20,True,30,4,50,150,1.0,0,41,0.0
12,12,0,600,20,20,0.04,0.05,20,True,30,4,50,150,0.5,0,26,1.0384615384615385
13,13,0,600,20,20,0.04,0.05,20,True,30,4,100,50,0.0,0,35,2.1714285714285713
14,14,0,600,20,20,0.04,0.05,20,True,30,4,50,150,0.75,0,35,0.4
15,15,0,600,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,37,1.3243243243243243
16,16,0,600,20,20,0.04,0.05,20,True,30,4,100,50,0.5,0,40,0.775
17,17,0,600,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,33,1.7878787878787878
18,18,0,600,20,20,0.04,0.05,20,True,30,4,100,100,0.0,0,0,0.0
19,19,0,600,20,20,0.04,0.05,20,True,30,4,100,50,1.0,0,34,0.0
20,20,0,600,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,35,2.142857142857143
21,21,0,600,20,20,0.04,0.05,20,True,30,4,100,150,0.0,0,0,0.0
22,22,0,600,20,20,0.04,0.05,20,True,30,4,100,100,0.5,0,40,1.225
23,23,0,600,20,20,0.04,0.05,20,True,30,4,100,50,0.75,0,26,0.8076923076923077
24,24,0,600,20,20,0.04,0.05,20,True,30,4,100,100,0.75,0,35,0.6285714285714286
25,25,0,600,20,20,0.04,0.05,20,True,30,4,100,100,1.0,0,30,0.0
26,26,0,600,20,20,0.04,0.05,20,True,30,4,150,50,0.0,0,0,0.0
27,27,0,600,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,37,2.3783783783783785
28,28,0,600,20,20,0.04,0.05,20,True,30,4,100,150,0.5,0,36,1.6111111111111112
29,29,0,600,20,20,0.04,0.05,20,True,30,4,100,150,1.0,0,35,0.0
30,30,0,600,20,20,0.04,0.05,20,True,30,4,100,150,0.75,0,28,1.1071428571428572
31,31,0,600,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,35,2.3142857142857145
32,32,0,600,20,20,0.04,0.05,20,True,30,4,150,50,0.5,0,30,1.4333333333333333
